customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
71,Yes,No phone service,No,NaN,No internet service,Yes,Yes,Yes,No
72,Yes,Yes,Fiber optic,NaN,Yes,Yes,Yes,No internet service,Yes
73,Yes,No,Fiber optic,NaN,No,No,No,No,No
74,Yes,Yes,Fiber optic,NaN,No,Yes,No,Yes,Yes
75,Yes,Yes,Fiber optic,NaN,No,No,Yes,No internet service,No internet service
76,Yes,No,Fiber optic,NaN,Yes,Yes,Yes,Yes,No internet service
77,Yes,Yes,DSL,NaN,Yes,No,Yes,Yes,Yes
78,Yes,No,Fiber optic,NaN,Yes,Yes,Yes,Yes,No
79,Yes,Yes,No,NaN,No internet service,No internet service,No internet service,No internet service,Yes
80,Yes,No,DSL,NaN,Yes,No internet service,Yes,No internet service,No internet service
81,Yes,Yes,No,NaN,No internet service,No internet service,Yes,No internet service,No internet service
82,Yes,No,DSL,NaN,Yes,No,No,Yes,Yes
83,Yes,Yes,No,NaN,Yes,Yes,No,No,Yes
84,No,No phone service,No,NaN,Yes,Yes,Yes,Yes,Yes
85,Yes,Yes,DSL,NaN,Yes,Yes,No internet service,Yes,Yes
86,Yes,No,No,NaN,Yes,Yes,No internet service,Yes,Yes
87,Yes,No,DSL,NaN,No,No,No,Yes,Yes
88,Yes,Yes,No,NaN,Yes,No internet service,Yes,No internet service,No internet service
89,Yes,No,DSL,NaN,Yes,Yes,Yes,Yes,Yes
90,Yes,No,DSL,NaN,No internet service,No internet service,No internet service,No internet service,Yes
91,Yes,Yes,DSL,NaN,No,No,Yes,No,No
92,Yes,Yes,Fiber optic,NaN,Yes,No,No,Yes,No
93,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No
94,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes
95,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes
96,Yes,No,No,Yes,No,Yes,Yes,No internet service,Yes
97,Yes,No,No,No,Yes,No,Yes,Yes,Yes
98,No,No,No,Yes,No,Yes,Yes,Yes,Yes
99,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
100,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
101,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No internet service,Yes
102,Yes,Yes,Fiber optic,No,No,No,No,No,No
103,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,Yes
104,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
105,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service
106,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,No
107,Yes,No,Fiber optic,No,No,No,No,No,No
108,No,No,No,No internet service,Yes,Yes,Yes,Yes,Yes
109,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No
110,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,Yes
111,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service
112,Yes,Yes,Fiber optic,No,No,No,No,No,No
113,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes
114,Yes,No,Fiber optic,No,No,No,No,No,Yes
115,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
116,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes
117,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes
118,Yes,No,Fiber optic,No,No,No,No,No,No
119,Yes,Yes,No,No,Yes,No,No,No,No
120,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes
121,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes
122,Yes,Yes,DSL,No,No,No,No,No,No
123,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
124,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service
125,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No
126,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
127,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes
128,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
129,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No
130,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,Yes
131,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,Yes
132,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service
133,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes
134,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,Yes
135,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
136,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
137,Yes,No,Fiber optic,Yes,No,No,No,No,No
138,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes
139,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
140,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No
141,Yes,No,DSL,No internet service,No,Yes,Yes,No,Yes
142,Yes,No,Fiber optic,No,No,No,No,No,No
143,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No
144,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
145,Yes,No,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes
146,Yes,No phone service,Fiber optic,No,No,No,No,No,No
147,Yes,No,No,Yes,Yes,No,No internet service,Yes,Yes
148,Yes,No,DSL,Yes,Yes,No,Yes,No,No
149,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No internet service
150,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
151,Yes,No,Fiber optic,No,Yes,No,No,Yes,No
152,Yes,No,DSL,No,No,No,No,No,No
153,Yes,No,DSL,No,Yes,No,No,No,Yes
154,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
155,Yes,Yes,Fiber optic,No,No,No,No,No,No
156,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
157,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,No internet service
158,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No internet service
159,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
160,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
161,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
162,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
163,Yes,No,DSL,No,No,No,Yes,Yes,Yes
164,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
165,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
166,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
167,No,No,Fiber optic,No,No,No,No,No,Yes
168,Yes,Yes,Fiber optic,No,No,No,No,No,No
169,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
170,Yes,Yes,Fiber optic,No,No,No,No,No,No
171,Yes,Yes,Fiber optic,No,No,No,No,No,No
172,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,No internet service
173,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
174,Yes,No phone service,Fiber optic,No,No,No,No,No,No
175,Yes,No,Fiber optic,No,No,Yes,No,No,No
176,NaN,No,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes
177,NaN,Yes,DSL,No,Yes,No,Yes,Yes,No
178,NaN,No,DSL,Yes,No,No,NaN,Yes,Yes
179,NaN,Yes,DSL,Yes,Yes,No internet service,NaN,Yes,Yes
180,NaN,Yes,Fiber optic,No,No,No,NaN,Yes,Yes
181,NaN,No,Fiber optic,No,No,No,NaN,No,No
182,NaN,No,Fiber optic,No,No,No,NaN,No,No
183,NaN,Yes,DSL,No internet service,No internet service,Yes,NaN,No internet service,No internet service
184,NaN,No phone service,No,Yes,Yes,Yes,NaN,Yes,Yes
185,NaN,No,No,Yes,No internet service,No internet service,NaN,Yes,No internet service
186,NaN,Yes,No,No internet service,No internet service,No internet service,NaN,No internet service,Yes
187,NaN,Yes,Fiber optic,No,Yes,No,NaN,No,No
188,Yes,No,No,Yes,No internet service,No,NaN,Yes,Yes
189,Yes,Yes,Fiber optic,Yes,Yes,Yes,NaN,Yes,Yes
190,Yes,Yes,Fiber optic,Yes,Yes,No internet service,NaN,No internet service,No internet service
191,Yes,Yes,No,Yes,Yes,Yes,NaN,Yes,Yes
192,Yes,No,DSL,No,No,No,NaN,No,Yes
193,Yes,Yes,DSL,No internet service,Yes,Yes,NaN,No internet service,No internet service
194,Yes,No phone service,Fiber optic,No,No,No,NaN,Yes,Yes
195,Yes,No,DSL,No internet service,Yes,No internet service,NaN,Yes,Yes
196,Yes,No,Fiber optic,No,No,Yes,NaN,No,No
197,Yes,No,DSL,Yes,No,Yes,NaN,Yes,Yes
198,Yes,No,Fiber optic,No,No,No,NaN,No,No
199,Yes,Yes,Fiber optic,No,Yes,Yes,NaN,Yes,No
200,Yes,No,DSL,No,No,No,NaN,No,Yes
201,Yes,Yes,Fiber optic,No,No,No,NaN,No,Yes
202,Yes,No,Fiber optic,Yes,No,No,NaN,No,No
203,Yes,No,Fiber optic,No,No,No,NaN,No,No
204,Yes,No,Fiber optic,No,Yes,No,NaN,Yes,Yes
205,Yes,Yes,DSL,No,Yes,No,NaN,No,No
206,Yes,Yes,Fiber optic,No,No,No,NaN,No,No
207,Yes,Yes,Fiber optic,No,No,No,NaN,No,No
208,Yes,No,No,Yes,Yes,Yes,NaN,Yes,Yes
209,Yes,Yes,Fiber optic,No,No,Yes,NaN,Yes,No
210,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes
211,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
212,Yes,Yes,No,Yes,No internet service,No internet service,Yes,Yes,Yes
213,Yes,No,DSL,No,Yes,No,No,Yes,No
214,Yes,No,DSL,No,No,No,No,No,No
215,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
216,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No internet service,Yes
217,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
218,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes
219,Yes,No,No,No,Yes,No internet service,No,Yes,Yes
220,Yes,No,Fiber optic,No,No,No,No,No,No
221,Yes,No,DSL,No,No,Yes,No,Yes,Yes
222,Yes,No,DSL,No,Yes,No,Yes,No,No
223,Yes,No,Fiber optic,No,No,No,No,No,No
224,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,Yes
225,Yes,No phone service,DSL,No,No,No,No,No,No
226,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
227,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes
228,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,No
229,Yes,No,No,Yes,No internet service,No internet service,Yes,Yes,No internet service
230,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
231,No,Yes,DSL,Yes,No,No,Yes,No,Yes
232,Yes,Yes,Fiber optic,No,No,No,No,No,No
233,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No internet service
234,Yes,No,Fiber optic,Yes,No,No,No,No,No
235,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
236,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,Yes
237,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes
238,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service
239,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes
240,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes
241,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service
242,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
243,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service
244,Yes,No,DSL,No,No,No,No,No,No
245,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
246,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
247,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes
248,Yes,No,DSL,No,No,No,No,Yes,Yes
249,Yes,No,Fiber optic,No,No,No,No,No,No
250,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes
251,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes
252,Yes,No,DSL,No,No,No,Yes,No,Yes
253,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No internet service
254,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes
255,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
256,Yes,No,Fiber optic,No,No,No,No,No,No
257,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
258,Yes,No,Fiber optic,No,Yes,No,No,Yes,No
259,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes
260,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No internet service
261,Yes,Yes,Fiber optic,No,No,No,No,No,No
262,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,Yes
263,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
264,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
265,Yes,No,Fiber optic,No,No,No,No,No,No
266,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes
267,No,No,DSL,Yes,No,No,Yes,No,No
268,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes
269,Yes,No,DSL,No,Yes,No,No,No,Yes
270,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
271,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes
272,Yes,No,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes
273,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No internet service
274,Yes,No,Fiber optic,No,No,No,No,No,No
275,No,No phone service,DSL,Yes,No,No internet service,No,No,Yes
276,Yes,Yes,DSL,No,No,Yes,No,No,No
277,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
278,Yes,Yes,Fiber optic,No,No,No,Yes,No,No
279,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
280,Yes,No,Fiber optic,No,No,No,No,No,No
281,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
282,Yes,No,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service
283,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
284,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
285,Yes,Yes,DSL,No,No,No,No,No internet service,Yes
286,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
287,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service
288,Yes,Yes,Fiber optic,No,No,No,No,No,No
289,Yes,No,DSL,No,No,No,Yes,No,No
290,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,No internet service,No internet service
291,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No
292,Yes,No,DSL,No,Yes,No,No,No,No
293,Yes,Yes,DSL,No,No,No,No,No,No
294,No,Yes,No,Yes,Yes,Yes,No internet service,Yes,No internet service
295,Yes,No,DSL,No,No,No,No,Yes,Yes
296,Yes,Yes,DSL,No,No,No,No,No,No
297,Yes,No,No,No internet service,Yes,Yes,Yes,No,Yes
298,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No internet service
299,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No internet service
300,No,Yes,DSL,No,No internet service,Yes,Yes,No,Yes
301,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
302,No,No,No,No,No,Yes,No internet service,Yes,Yes
303,Yes,Yes,DSL,No,No,No,No,Yes,Yes
304,Yes,No,Fiber optic,No,No,No,No,Yes,No
305,Yes,No,DSL,Yes,No,No,No,No,No
306,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service
307,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes
308,Yes,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No
309,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,Yes
310,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
311,Yes,No,Fiber optic,No,No,No,No,No,No
312,Yes,No,Fiber optic,No,Yes,No,No,No,No
313,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No
314,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
315,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
316,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service
317,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
318,Yes,Yes,DSL,Yes,No,No,Yes,No,No
319,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
320,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service
321,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service
322,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service
323,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
324,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes
325,Yes,Yes,No,No internet service,No,Yes,No internet service,Yes,Yes
326,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,Yes
327,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
328,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service
329,Yes,No phone service,DSL,No,No,No,No,No,No
330,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes
331,Yes,No,DSL,No,Yes,No,No,Yes,Yes
332,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
333,Yes,Yes,Fiber optic,No,No,No,No,No,No
334,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
335,Yes,Yes,Fiber optic,No,No,No,No,No,No
336,Yes,Yes,Fiber optic,No,No,No,No,No,No
337,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
338,No,No,Fiber optic,No,No,No,No,No,Yes
339,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No internet service
340,Yes,No,DSL,No,No,Yes,No,No,No
341,Yes,Yes,DSL,Yes,No,No,No,No,No
342,Yes,No,DSL,Yes,No internet service,No,No internet service,Yes,No internet service
343,Yes,No,DSL,No,No,No,No,No,No
344,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,Yes,No internet service
345,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service
346,Yes,Yes,DSL,No,No,No,No,Yes,No
347,Yes,Yes,DSL,No,No,No,No,No,No
348,Yes,No,DSL,No,No,No,No,No internet service,No
349,Yes,Yes,Fiber optic,No,No,No,No,No,No
350,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
351,Yes,Yes,No,Yes,No internet service,No internet service,Yes,Yes,Yes
352,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service
353,Yes,No,Fiber optic,No,No,No,No,No,No
354,Yes,No,Fiber optic,No,No,No,No,Yes,No
355,Yes,Yes,DSL,No,No,Yes,Yes,No,No
356,Yes,No,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes
357,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes
358,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
359,Yes,Yes,Fiber optic,No,No,No,No,No,No
360,Yes,Yes,Fiber optic,No,No,No,No,No,No
361,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No internet service
362,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service
363,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
364,No,Yes,DSL,Yes,No,No,No,Yes,No internet service
365,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes
366,Yes,Yes,DSL,Yes,No,No,No,No,No
367,Yes,No,Fiber optic,No,No,No,No,No,No
368,Yes,Yes,Fiber optic,No,No,No,No,No,No
369,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No
370,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
371,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes
372,No,No,DSL,No,No,No,No,No,No
373,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
374,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service
375,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
376,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes
377,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes
378,Yes,No,Fiber optic,No,Yes,No,No,No,No
379,Yes,No,DSL,No,No,No,No,No,No
380,Yes,No,Fiber optic,No,No,No,No,No,No
381,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
382,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No
383,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,Yes
384,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes
385,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
386,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes
387,Yes,No,DSL,No,No,Yes,Yes,Yes,No
388,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
389,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
390,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes
391,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes
392,Yes,No,No,Yes,No internet service,No,Yes,Yes,Yes
393,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
394,Yes,Yes,DSL,No,No,No,No,No,No
395,Yes,Yes,Fiber optic,No,No,No,No,No,No
396,Yes,No,DSL,No,No,Yes,No,Yes,Yes
397,Yes,No,DSL,No,Yes,No,No,No,Yes
398,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service
399,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No
400,Yes,Yes,No,No internet service,Yes,Yes,Yes,No,Yes
401,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
402,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service
403,Yes,Yes,DSL,No,No,Yes,No,No,Yes
404,Yes,No,DSL,No,No,Yes,Yes,No,No
405,Yes,No,DSL,No,No,No,No,No,Yes
406,Yes,Yes,Fiber optic,No,No,No,No,No,No
407,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service
408,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes
409,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service
410,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes
411,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
