customerID,PaymentMethod,Churn
1583,"Electronic check",Yes
1610,"Electronic check",Yes
1611,"Electronic check",Yes
1642,"Electronic check",Yes
1648,"Electronic check",Yes
1661,"Electronic check",Yes
1677,"Electronic check",Yes
1680,"Electronic check",Yes
1705,"Electronic check",Yes
1709,"Electronic check",Yes
1722,"Electronic check",Yes
1723,"Electronic check",Yes
1730,"Credit card (automatic)",Yes
1739,"Electronic check",Yes
1740,"Electronic check",Yes
1775,"Electronic check",Yes
1795,"Electronic check",Yes
1815,"Credit card (automatic)",Yes
1818,"Electronic check",Yes
1852,"Electronic check",Yes
1869,"Credit card (automatic)",Yes
1873,"Electronic check",Yes
1875,"Electronic check",Yes
1885,"Credit card (automatic)",Yes
1887,"Credit card (automatic)",Yes
1891,"Electronic check",Yes
1909,"Electronic check",Yes
1911,"Electronic check",Yes
1915,"Electronic check",Yes
1956,"Electronic check",Yes
1963,"Credit card (automatic)",Yes
1984,"Electronic check",Yes
1998,"Electronic check",Yes
2008,"Electronic check",Yes
2014,"Electronic check",Yes
2015,"Electronic check",Yes
2024,"Electronic check",Yes
2025,"Credit card (automatic)",Yes
2037,"Credit card (automatic)",Yes
2046,"Electronic check",Yes
2054,"Electronic check",Yes
2093,"Electronic check",Yes
2111,"Electronic check",Yes
2134,"Electronic check",Yes
2156,"Electronic check",Yes
2164,"Electronic check",Yes
2181,"Electronic check",Yes
2197,"Electronic check",Yes
2242,"Electronic check",Yes
2243,"Credit card (automatic)",Yes
2244,"Electronic check",Yes
2261,"Electronic check",Yes
2285,"Electronic check",Yes
2288,"Electronic check",Yes
2323,"Electronic check",Yes
2339,"Electronic check",Yes
2363,"Electronic check",Yes
2368,"Electronic check",Yes
2378,"Credit card (automatic)",Yes
2398,"Electronic check",Yes
2406,"Electronic check",Yes
2433,"Credit card (automatic)",Yes
2436,"Electronic check",Yes
2460,"Electronic check",Yes
2461,"Electronic check",Yes
2466,"Electronic check",Yes
2476,"Credit card (automatic)",Yes
2511,"Electronic check",Yes
2523,"Electronic check",Yes
2525,"Electronic check",Yes
2527,"Electronic check",Yes
2533,"Electronic check",Yes
2534,"Credit card (automatic)",Yes
2538,"Electronic check",Yes
2555,"Credit card (automatic)",Yes
2576,"Electronic check",Yes
2595,"Electronic check",Yes
2599,"Electronic check",Yes
2604,"Electronic check",Yes
2607,"Electronic check",Yes
2612,"Electronic check",Yes
2615,"Electronic check",Yes
2623,"Electronic check",Yes
2645,"Electronic check",Yes
2651,"Electronic check",Yes
2657,"Electronic check",Yes
2668,"Credit card (automatic)",Yes
2701,"Credit card (automatic)",Yes
2722,"Credit card (automatic)",Yes
2743,"Electronic check",Yes
2766,"Electronic check",Yes
2776,"Electronic check",Yes
2778,"Credit card (automatic)",Yes
2788,"Credit card (automatic)",Yes
2796,"Electronic check",Yes
2805,"Electronic check",Yes
2811,"Electronic check",Yes
2814,"Electronic check",Yes
2815,"Electronic check",Yes
2818,"Electronic check",Yes
2834,"Electronic check",Yes
2838,"Electronic check",Yes
2858,"Electronic check",Yes
2887,"Electronic check",Yes
2918,"Credit card (automatic)",Yes
2920,"Electronic check",Yes
2927,"Credit card (automatic)",Yes
2938,"Electronic check",Yes
2948,"Electronic check",Yes
2955,"Credit card (automatic)",Yes
2960,"Electronic check",Yes
2973,"Electronic check",Yes
2977,"Electronic check",Yes
2997,"Credit card (automatic)",Yes
3005,"Electronic check",Yes
3027,"Electronic check",Yes
3039,"Electronic check",Yes
3066,"Electronic check",Yes
3074,"Credit card (automatic)",Yes
3076,"Electronic check",Yes
3077,"Electronic check",Yes
3082,"Electronic check",Yes
3083,"Electronic check",Yes
3125,"Electronic check",Yes
3127,"Electronic check",Yes
3135,"Electronic check",Yes
3138,"Electronic check",Yes
3153,"Electronic check",Yes
3166,"Electronic check",Yes
3209,"Electronic check",Yes
3212,"Electronic check",Yes
3227,"Credit card (automatic)",Yes
3230,"Credit card (automatic)",Yes
3238,"Credit card (automatic)",Yes
3250,"Electronic check",Yes
3252,"Electronic check",Yes
3254,"Electronic check",Yes
3262,"Electronic check",Yes
3267,"Electronic check",Yes
3273,"Electronic check",Yes
3278,"Electronic check",Yes
3280,"Electronic check",Yes
3284,"Electronic check",Yes
3290,"Electronic check",Yes
3322,"Electronic check",Yes
3325,"Electronic check",Yes
3327,"Credit card (automatic)",Yes
3342,"Electronic check",Yes
3346,"Electronic check",Yes
3353,"Electronic check",Yes
3363,"Electronic check",Yes
3379,"Electronic check",Yes
3420,"Electronic check",Yes
3433,"Electronic check",Yes
3467,"Electronic check",Yes
3471,"Electronic check",Yes
3486,"Electronic check",Yes
3509,"Electronic check",Yes
3510,"Credit card (automatic)",Yes
3520,"Electronic check",Yes
3530,"Electronic check",Yes
3543,"Electronic check",Yes
3553,"Electronic check",Yes
3583,"Electronic check",Yes
3592,"Credit card (automatic)",Yes
3617,"Electronic check",Yes
3626,"Electronic check",Yes
3628,"Electronic check",Yes
3630,"Electronic check",Yes
3637,"Credit card (automatic)",Yes
3648,"Electronic check",Yes
3659,"Electronic check",Yes
3663,"Electronic check",Yes
3678,"Electronic check",Yes
3690,"Electronic check",Yes
3703,"Electronic check",Yes
3723,"Electronic check",Yes
3729,"Credit card (automatic)",Yes
3732,"Electronic check",Yes
3768,"Credit card (automatic)",Yes
3769,"Credit card (automatic)",Yes
3788,"Electronic check",Yes
3792,"Credit card (automatic)",Yes
3802,"Credit card (automatic)",Yes
3811,"Electronic check",Yes
3842,"Electronic check",Yes
3854,"Electronic check",Yes
3856,"Electronic check",Yes
3864,"Electronic check",Yes
3870,"Electronic check",Yes
3884,"Electronic check",Yes
3891,"Credit card (automatic)",Yes
3903,"Electronic check",Yes
3921,"Credit card (automatic)",Yes
3924,"Electronic check",Yes
3945,"Electronic check",Yes
3960,"Electronic check",Yes
3994,"Credit card (automatic)",Yes
3995,"Electronic check",Yes
4004,"Electronic check",Yes
4049,"Electronic check",Yes
4066,"Electronic check",Yes
4070,"Electronic check",Yes
4072,"Electronic check",Yes
4081,"Credit card (automatic)",Yes
4084,"Electronic check",Yes
4086,"Electronic check",Yes
4091,"Electronic check",Yes
4120,"Electronic check",Yes
4122,"Credit card (automatic)",Yes
4134,"Electronic check",Yes
4135,"Electronic check",Yes
4139,"Electronic check",Yes
4170,"Credit card (automatic)",Yes
4179,"Credit card (automatic)",Yes
4183,"Credit card (automatic)",Yes
4202,"Electronic check",Yes
4234,"Electronic check",Yes
4267,"Electronic check",Yes
4277,"Electronic check",Yes
4298,"Electronic check",Yes
4301,"Electronic check",Yes
4307,"Electronic check",Yes
4322,"Electronic check",Yes
4325,"Electronic check",Yes
4331,"Electronic check",Yes
4334,"Electronic check",Yes
4354,"Electronic check",Yes
4385,"Credit card (automatic)",Yes
4392,"Credit card (automatic)",Yes
4395,"Electronic check",Yes
4397,"Electronic check",Yes
4420,"Credit card (automatic)",Yes
4424,"Electronic check",Yes
4428,"Electronic check",Yes
4447,"Credit card (automatic)",Yes
4457,"Electronic check",Yes
4480,"Credit card (automatic)",Yes
4487,"Electronic check",Yes
4502,"Electronic check",Yes
4515,"Electronic check",Yes
4533,"Electronic check",Yes
4572,"Electronic check",Yes
4592,"Credit card (automatic)",Yes
4598,"Electronic check",Yes
4604,"Electronic check",Yes
4617,"Electronic check",Yes
4621,"Electronic check",Yes
4643,"Electronic check",Yes
4648,"Electronic check",Yes
4660,"Electronic check",Yes
4664,"Electronic check",Yes
4678,"Electronic check",Yes
4681,"Electronic check",Yes
4685,"Electronic check",Yes
4703,"Electronic check",Yes
4704,"Electronic check",Yes
4716,"Electronic check",Yes
4720,"Electronic check",Yes
4731,"Electronic check",Yes
4738,"Electronic check",Yes
4741,"Electronic check",Yes
4743,"Electronic check",Yes
4748,"Electronic check",Yes
4749,"Electronic check",Yes
4761,"Electronic check",Yes
4808,"Electronic check",Yes
4809,"Electronic check",Yes
4811,"Electronic check",Yes
4822,"Electronic check",Yes
4850,"Credit card (automatic)",Yes
4853,"Credit card (automatic)",Yes
4870,"Electronic check",Yes
4872,"Electronic check",Yes
4878,"Credit card (automatic)",Yes
4887,"Electronic check",Yes
4895,"Electronic check",Yes
4907,"Credit card (automatic)",Yes
4909,"Credit card (automatic)",Yes
4914,"Electronic check",Yes
4924,"Electronic check",Yes
4931,"Credit card (automatic)",Yes
4943,"Electronic check",Yes
4952,"Electronic check",Yes
4953,"Electronic check",Yes
4955,"Electronic check",Yes
4956,"Electronic check",Yes
4960,"Credit card (automatic)",Yes
4964,"Electronic check",Yes
4972,"Electronic check",Yes
4979,"Electronic check",Yes
4988,"Electronic check",Yes
5002,"Electronic check",Yes
5004,"Credit card (automatic)",Yes
5021,"Electronic check",Yes
5025,"Electronic check",Yes
5031,"Electronic check",Yes
5049,"Electronic check",Yes
5050,"Electronic check",Yes
5096,"Electronic check",Yes
5121,"Electronic check",Yes
5132,"Electronic check",Yes
5133,"Credit card (automatic)",Yes
5134,"Electronic check",Yes
5137,"Electronic check",Yes
5138,"Electronic check",Yes
5164,"Credit card (automatic)",Yes
5211,"Electronic check",Yes
5217,"Electronic check",Yes
5233,"Electronic check",Yes
5238,"Credit card (automatic)",Yes
5242,"Electronic check",Yes
5247,"Electronic check",Yes
5257,"Electronic check",Yes
5259,"Electronic check",Yes
5285,"Electronic check",Yes
5322,"Credit card (automatic)",Yes
5326,"Electronic check",Yes
5333,"Electronic check",Yes
5341,"Electronic check",Yes
5349,"Credit card (automatic)",Yes
5361,"Electronic check",Yes
5366,"Credit card (automatic)",Yes
5398,"Electronic check",Yes
5410,"Electronic check",Yes
5430,"Electronic check",Yes
5436,"Electronic check",Yes
5458,"Electronic check",Yes
5463,"Electronic check",Yes
5494,"Electronic check",Yes
5500,"Credit card (automatic)",Yes
5516,"Electronic check",Yes
5524,"Electronic check",Yes
5529,"Credit card (automatic)",Yes
5532,"Electronic check",Yes
5534,"Electronic check",Yes
5537,"Electronic check",Yes
5546,"Electronic check",Yes
5551,"Electronic check",Yes
5571,"Electronic check",Yes
5572,"Electronic check",Yes
5577,"Credit card (automatic)",Yes
5601,"Electronic check",Yes
5602,"Electronic check",Yes
5607,"Credit card (automatic)",Yes
5617,"Electronic check",Yes
5634,"Electronic check",Yes
5644,"Electronic check",Yes
5647,"Electronic check",Yes
5657,"Electronic check",Yes
5666,"Electronic check",Yes
5671,"Electronic check",Yes
5674,"Electronic check",Yes
5683,"Electronic check",Yes
5688,"Electronic check",Yes
5691,"Electronic check",Yes
5703,"Electronic check",Yes
5706,"Electronic check",Yes
5709,"Electronic check",Yes
5727,"Electronic check",Yes
5733,"Electronic check",Yes
5761,"Credit card (automatic)",Yes
5775,"Credit card (automatic)",Yes
5780,"Electronic check",Yes
5793,"Electronic check",Yes
5803,"Electronic check",Yes
5805,"Electronic check",Yes
5845,"Credit card (automatic)",Yes
5851,"Credit card (automatic)",Yes
5853,"Electronic check",Yes
5855,"Credit card (automatic)",Yes
5874,"Electronic check",Yes
5897,"Electronic check",Yes
5901,"Electronic check",Yes
5904,"Electronic check",Yes
5913,"Electronic check",Yes
5931,"Credit card (automatic)",Yes
5937,"Credit card (automatic)",Yes
5938,"Electronic check",Yes
5955,"Credit card (automatic)",Yes
5956,"Electronic check",Yes
5968,"Electronic check",Yes
5972,"Electronic check",Yes
5973,"Electronic check",Yes
5979,"Electronic check",Yes
5991,"Electronic check",Yes
6053,"Electronic check",Yes
6090,"Electronic check",Yes
6110,"Electronic check",Yes
6116,"Electronic check",Yes
6117,"Electronic check",Yes
6119,"Credit card (automatic)",Yes
6126,"Electronic check",Yes
6127,"Electronic check",Yes
6128,"Electronic check",Yes
6141,"Credit card (automatic)",Yes
6147,"Electronic check",Yes
6149,"Electronic check",Yes
6156,"Electronic check",Yes
6165,"Electronic check",Yes
6167,"Electronic check",Yes
6172,"Electronic check",Yes
6185,"Credit card (automatic)",Yes
6233,"Electronic check",Yes
6235,"Electronic check",Yes
6237,"Electronic check",Yes
6238,"Electronic check",Yes
6255,"Electronic check",Yes
6274,"Credit card (automatic)",Yes
6283,"Credit card (automatic)",Yes
6295,"Credit card (automatic)",Yes
6296,"Electronic check",Yes
6297,"Electronic check",Yes
6304,"Electronic check",Yes
6305,"Electronic check",Yes
6306,"Electronic check",Yes
6329,"Electronic check",Yes
6330,"Electronic check",Yes
6334,"Credit card (automatic)",Yes
6336,"Electronic check",Yes
6345,"Credit card (automatic)",Yes
6360,"Credit card (automatic)",Yes
6370,"Electronic check",Yes
6419,"Electronic check",Yes
6434,"Electronic check",Yes
6442,"Electronic check",Yes
6451,"Credit card (automatic)",Yes
6458,"Electronic check",Yes
6464,"Electronic check",Yes
6496,"Electronic check",Yes
6507,"Credit card (automatic)",Yes
6510,"Electronic check",Yes
6555,"Electronic check",Yes
6559,"Electronic check",Yes
6561,"Electronic check",Yes
6569,"Electronic check",Yes
6649,"Electronic check",Yes
6653,"Credit card (automatic)",Yes
6663,"Electronic check",Yes
6672,"Credit card (automatic)",Yes
6678,"Electronic check",Yes
6703,"Electronic check",Yes
6722,"Electronic check",Yes
6757,"Electronic check",Yes
6766,"Electronic check",Yes
6773,"Electronic check",Yes
6786,"Electronic check",Yes
6798,"Electronic check",Yes
6805,"Electronic check",Yes
6838,"Electronic check",Yes
6844,"Electronic check",Yes
6855,"Electronic check",Yes
6873,"Electronic check",Yes
6891,"Electronic check",Yes
6897,"Electronic check",Yes
6898,"Electronic check",Yes
6903,"Electronic check",Yes
6912,"Electronic check",Yes
6913,"Electronic check",Yes
6915,"Electronic check",Yes
6932,"Electronic check",Yes
6952,"Electronic check",Yes
6967,"Electronic check",Yes
6985,"Credit card (automatic)",Yes
6986,"Credit card (automatic)",Yes
7024,"Electronic check",Yes
7062,"Electronic check",Yes
7088,"Electronic check",Yes
7104,"Electronic check",Yes
7115,"Credit card (automatic)",Yes
7116,"Credit card (automatic)",Yes
7141,"Electronic check",Yes
7149,"Credit card (automatic)",Yes
7171,"Electronic check",Yes
7179,"Electronic check",Yes
7235,"Electronic check",Yes
7240,"Credit card (automatic)",Yes
7241,"Electronic check",Yes
7245,"Electronic check",Yes
7253,"Electronic check",Yes
7265,"Electronic check",Yes
7266,"Electronic check",Yes
7269,"Electronic check",Yes
7294,"Electronic check",Yes
7319,"Electronic check",Yes
7329,"Electronic check",Yes
7332,"Electronic check",Yes
7353,"Credit card (automatic)",Yes
7378,"Electronic check",Yes
7395,"Credit card (automatic)",Yes
7398,"Electronic check",Yes
7427,"Electronic check",Yes
7428,"Credit card (automatic)",Yes
7435,"Electronic check",Yes
7450,"Electronic check",Yes
7455,"Credit card (automatic)",Yes
7465,"Electronic check",Yes
7491,"Electronic check",Yes
7509,"Electronic check",Yes
7516,"Electronic check",Yes
7520,"Electronic check",Yes
7527,"Electronic check",Yes
7533,"Electronic check",Yes
7538,"Electronic check",Yes
7569,"Electronic check",Yes
7577,"Electronic check",Yes
7586,"Electronic check",Yes
7592,"Electronic check",Yes
7593,"Electronic check",Yes
7598,"Electronic check",Yes
7602,"Electronic check",Yes
7604,"Electronic check",Yes
7625,"Credit card (automatic)",Yes
7635,"Electronic check",Yes
7636,"Electronic check",Yes
7638,"Electronic check",Yes
7651,"Electronic check",Yes
7655,"Electronic check",Yes
7670,"Electronic check",Yes
7671,"Credit card (automatic)",Yes
7706,"Electronic check",Yes
7717,"Electronic check",Yes
7720,"Credit card (automatic)",Yes
7721,"Electronic check",Yes
7724,"Electronic check",Yes
7727,"Electronic check",Yes
7736,"Electronic check",Yes
7762,"Electronic check",Yes
7763,"Electronic check",Yes
7784,"Electronic check",Yes
7794,"Electronic check",Yes
7797,"Credit card (automatic)",Yes
7799,"Electronic check",Yes
7819,"Electronic check",Yes
7825,"Electronic check",Yes
7827,"Credit card (automatic)",Yes
7844,"Electronic check",Yes
7884,"Credit card (automatic)",Yes
7886,"Electronic check",Yes
7914,"Electronic check",Yes
8004,"Electronic check",Yes
8018,"Electronic check",Yes
8027,"Electronic check",Yes
8034,"Electronic check",Yes
8035,"Electronic check",Yes
8037,"Electronic check",Yes
8041,"Electronic check",Yes
8046,"Electronic check",Yes
8050,"Credit card (automatic)",Yes
8067,"Electronic check",Yes
8089,"Electronic check",Yes
8111,"Electronic check",Yes
8118,"Electronic check",Yes
8120,"Electronic check",Yes
8150,"Electronic check",Yes
8163,"Credit card (automatic)",Yes
8202,"Credit card (automatic)",Yes
8218,"Electronic check",Yes
8230,"Electronic check",Yes
8254,"Electronic check",Yes
8269,"Electronic check",Yes
8279,"Electronic check",Yes
8301,"Electronic check",Yes
8302,"Electronic check",Yes
8318,"Electronic check",Yes
8332,"Electronic check",Yes
8344,"Electronic check",Yes
8347,"Electronic check",Yes
8389,"Electronic check",Yes
8396,"Electronic check",Yes
8444,"Electronic check",Yes
8476,"Electronic check",Yes
8491,"Electronic check",Yes
8494,"Electronic check",Yes
8500,"Electronic check",Yes
8509,"Electronic check",Yes
8515,"Electronic check",Yes
8535,"Electronic check",Yes
8545,"Electronic check",Yes
8565,"Electronic check",Yes
8567,"Electronic check",Yes
8575,"Electronic check",Yes
8576,"Electronic check",Yes
8622,"Electronic check",Yes
8629,"Credit card (automatic)",Yes
8644,"Electronic check",Yes
8671,"Electronic check",Yes
8676,"Electronic check",Yes
8692,"Electronic check",Yes
8705,"Credit card (automatic)",Yes
8749,"Electronic check",Yes
8752,"Electronic check",Yes
8760,"Electronic check",Yes
8770,"Credit card (automatic)",Yes
8782,"Electronic check",Yes
8816,"Electronic check",Yes
8862,"Electronic check",Yes
8877,"Electronic check",Yes
8899,"Electronic check",Yes
8900,"Electronic check",Yes
8940,"Electronic check",Yes
8941,"Electronic check",Yes
8943,"Electronic check",Yes
8956,"Electronic check",Yes
8963,"Electronic check",Yes
8964,"Electronic check",Yes
8992,"Electronic check",Yes
9010,"Electronic check",Yes
9013,"Electronic check",Yes
9020,"Credit card (automatic)",Yes
9033,"Electronic check",Yes
9041,"Electronic check",Yes
9048,"Electronic check",Yes
9064,"Electronic check",Yes
9076,"Electronic check",Yes
9082,"Credit card (automatic)",Yes
9089,"Electronic check",Yes
9091,"Electronic check",Yes
9092,"Electronic check",Yes
9103,"Electronic check",Yes
9107,"Credit card (automatic)",Yes
9117,"Credit card (automatic)",Yes
9126,"Credit card (automatic)",Yes
9148,"Electronic check",Yes
9152,"Credit card (automatic)",Yes
9158,"Electronic check",Yes
9166,"Electronic check",Yes
9169,"Electronic check",Yes
9172,"Electronic check",Yes
9196,"Credit card (automatic)",Yes
9201,"Credit card (automatic)",Yes
9203,"Electronic check",Yes
9224,"Electronic check",Yes
9241,"Electronic check",Yes
9270,"Electronic check",Yes
9274,"Electronic check",Yes
9279,"Electronic check",Yes
9294,"Electronic check",Yes
9308,"Electronic check",Yes
9309,"Electronic check",Yes
9356,"Electronic check",Yes
9364,"Electronic check",Yes
9374,"Electronic check",Yes
9394,"Electronic check",Yes
9415,"Electronic check",Yes
9418,"Credit card (automatic)",Yes
9421,"Electronic check",Yes
9422,"Electronic check",Yes
9446,"Electronic check",Yes
9475,"Electronic check",Yes
9478,"Credit card (automatic)",Yes
9494,"Credit card (automatic)",Yes
9497,"Electronic check",Yes
9524,"Electronic check",Yes
9538,"Electronic check",Yes
9574,"Credit card (automatic)",Yes
9579,"Electronic check",Yes
9599,"Electronic check",Yes
9630,"Electronic check",Yes
9642,"Credit card (automatic)",Yes
9675,"Electronic check",Yes
9685,"Electronic check",Yes
9707,"Electronic check",Yes
9727,"Electronic check",Yes
9732,"Electronic check",Yes
9753,"Electronic check",Yes
9760,"Electronic check",Yes
9766,"Electronic check",Yes
9782,"Electronic check",Yes
9786,"Electronic check",Yes
9807,"Electronic check",Yes
9809,"Electronic check",Yes
9815,"Electronic check",Yes
9828,"Electronic check",Yes
9883,"Electronic check",Yes
9895,"Electronic check",Yes
9897,"Electronic check",Yes
9907,"Electronic check",Yes
9949,"Electronic check",Yes
9951,"Electronic check",Yes
9952,"Electronic check",Yes
9969,"Electronic check",Yes
9972,"Electronic check",Yes
9978,"Electronic check",Yes
9983,"Electronic check",Yes
9993,"Electronic check",Yes
10002,"Credit card (automatic)",Yes
10007,"Electronic check",Yes
10030,"Electronic check",Yes
10035,"Electronic check",Yes
10038,"Electronic check",Yes
10061,"Electronic check",Yes
10064,"Electronic check",Yes
10078,"Credit card (automatic)",Yes
10096,"Electronic check",Yes
10105,"Electronic check",Yes
10134,"Electronic check",Yes
10170,"Electronic check",Yes
10190,"Credit card (automatic)",Yes
10191,"Electronic check",Yes
10208,"Electronic check",Yes
10256,"Electronic check",Yes
10260,"Credit card (automatic)",Yes
10273,"Electronic check",Yes
10277,"Electronic check",Yes
10283,"Electronic check",Yes
10284,"Electronic check",Yes
10325,"Credit card (automatic)",Yes
10329,"Electronic check",Yes
10332,"Electronic check",Yes
10352,"Electronic check",Yes
10353,"Electronic check",Yes
10374,"Electronic check",Yes
10379,"Electronic check",Yes
10390,"Electronic check",Yes
10400,"Credit card (automatic)",Yes
10408,"Electronic check",Yes
10416,"Electronic check",Yes
10417,"Electronic check",Yes
10422,"Electronic check",Yes
10434,"Electronic check",Yes
10440,"Electronic check",Yes
10449,"Credit card (automatic)",Yes
10451,"Credit card (automatic)",Yes
10477,"Electronic check",Yes
10494,"Electronic check",Yes
10500,"Electronic check",Yes
10511,"Electronic check",Yes
10533,"Credit card (automatic)",Yes
10549,"Electronic check",Yes
10556,"Electronic check",Yes
10557,"Electronic check",Yes
10566,"Electronic check",Yes
10570,"Credit card (automatic)",Yes
10579,"Electronic check",Yes
10581,"Electronic check",Yes
10586,"Electronic check",Yes
10589,"Electronic check",Yes
10590,"Electronic check",Yes
10594,"Credit card (automatic)",Yes
10596,"Electronic check",Yes
10617,"Electronic check",Yes
10637,"Electronic check",Yes
10646,"Electronic check",Yes
10658,"Electronic check",Yes
10663,"Electronic check",Yes
10671,"Electronic check",Yes
10693,"Electronic check",Yes
10695,"Electronic check",Yes
10715,"Electronic check",Yes
10724,"Electronic check",Yes
10748,"Electronic check",Yes
10765,"Electronic check",Yes
10766,"Electronic check",Yes
10777,"Credit card (automatic)",Yes
10779,"Electronic check",Yes
10783,"Electronic check",Yes
10784,"Electronic check",Yes
10797,"Credit card (automatic)",Yes
10830,"Electronic check",Yes
10843,"Electronic check",Yes
10851,"Electronic check",Yes
10884,"Electronic check",Yes
10890,"Electronic check",Yes
10901,"Electronic check",Yes
10912,"Electronic check",Yes
10913,"Electronic check",Yes
10923,"Electronic check",Yes
10926,"Electronic check",Yes
10933,"Electronic check",Yes
10941,"Electronic check",Yes
10944,"Credit card (automatic)",Yes
10947,"Electronic check",Yes
10986,"Electronic check",Yes
11009,"Electronic check",Yes
11033,"Credit card (automatic)",Yes
11060,"Electronic check",Yes
11063,"Credit card (automatic)",Yes
11073,"Electronic check",Yes
11087,"Electronic check",Yes
11095,"Credit card (automatic)",Yes
11138,"Credit card (automatic)",Yes
11153,"Electronic check",Yes
11171,"Credit card (automatic)",Yes
11193,"Credit card (automatic)",Yes
11199,"Electronic check",Yes
11204,"Electronic check",Yes
11211,"Electronic check",Yes
11219,"Electronic check",Yes
11222,"Electronic check",Yes
11225,"Electronic check",Yes
11226,"Credit card (automatic)",Yes
11241,"Electronic check",Yes
11256,"Electronic check",Yes
11287,"Electronic check",Yes
11290,"Credit card (automatic)",Yes
11298,"Electronic check",Yes
11301,"Electronic check",Yes
11303,"Electronic check",Yes
11317,"Electronic check",Yes
11328,"Electronic check",Yes
11333,"Electronic check",Yes
11346,"Electronic check",Yes
11393,"Electronic check",Yes
11394,"Electronic check",Yes
11399,"Electronic check",Yes
11404,"Electronic check",Yes
11418,"Electronic check",Yes
11424,"Electronic check",Yes
11438,"Electronic check",Yes
11441,"Electronic check",Yes
11449,"Electronic check",Yes
11469,"Electronic check",Yes
11480,"Credit card (automatic)",Yes
11490,"Electronic check",Yes
11497,"Electronic check",Yes
11539,"Electronic check",Yes
11544,"Electronic check",Yes
11550,"Electronic check",Yes
11571,"Electronic check",Yes
11574,"Electronic check",Yes
11606,"Electronic check",Yes
11643,"Electronic check",Yes
11646,"Electronic check",Yes
